Timestamp,Weed,Books,Prescription,Drugs,Benzos,"Steroids, PEDs",Erotica,Hash,Cannabis,Digital goods,Pills,Seeds,Money,Cocaine,MDMA,Opioids,DMT,Blotter,"CDs, DVDs, software, etc.",Heroin,Other,Services,Speed,2C-B,Stimulants,Ketamine,Meth,Methylone,White,Cubensis,Drug paraphernalia,Edibles,Concentrates,Viagra,Synthetic,Electronics,Digital currencies,Forgeries,NBOMe,Spores,Fake IDs,Invites / Accounts,Tobacco,Video,Computer equipment,MXE,Lotteries & games,Glass,Mephedrone,Supplements,2C-E,LSD,Shrooms,Oils,Tan,Pain Relief,Accessories,Psychedelics,GHB,25I-NBOMe,Pipes,MDPV,SSRIs,Ecstasy,Watches,Physical Books,Jewelry,4-MEC,Magazines,2C-P,MDA,Custom Orders,Medical,Sunglasses,DOC,2C-I,5-MeO-DMT,Opium,Clothing,Adderall,4-AcO-DMT,25C-NBOMe,Medical supplies,Lab Supplies,Crystal / Powder,Crack,Packaging,Security,Salvia,5-MEO-MIPT,Chemicals,PCP,Apparel,Ibogain,2C-C,Pharmaceuticals,4-FA,Loans,DOB,AMT,Papers,Handbags,TMA Family,Weight loss,Food,Ephedrine,Silver,2C Family,Metal,4-AcO-DET,Fireworks,2C-T-4,Caffeine,DXM,Smoking Blend,Grinders,Scales,Renewable Energy,Ethylphenidate,Silicone,6-APB,Melee,MDPPP,Herbs & Supplements,Butylone,Collectibles,IV/IM,2C-T-7,Weaponry,"Security, defense",Home & Garden,Bullion,2C-T-2,Art,Barbiturates,5-MeO-DiPT,Vaporizers,Passports,Dissociatives,DOI,Tramadol,Mexicana,Musical instruments,4-HO family,Cultures,Atlantis,25D-NBOMe,Yubikeys,4-HO-MIPT,Kink,Hardware,Cones,2C-D,Mimosa Hostilis,Ammunition,4-FMA,Bondage,Lock picks,Alcohol,Tickets,Cuttings,Liquid,Instruments,2-FA,Toys,Cyanescens,Antibiotics,5-MeO-DALT,Microdots,4-HO-MET,Inhalants,Entheogens,Glassware,2-FMA,Soma,Bongs,Mescaline,Newsletters,Topicals,Prostate Massager,DOx,Recipes,4-AcO-MIPT,San Pedro,MDAI,Gold,5-APB,25B-NBOMe,FAs,Rolling Supplies,Unknown,azurescens,Sporting goods,Biotic materials,Ethylone,LSA,Lab Testing,Beverages,Crystal,5-MEO-AMT,Dimethocaine,Precursors,Vinyl,Explosives,"3,4DMMC",A-PVP,4-FMC,DOM,4-HO-DIPT,Liberty caps,Peyote,Blunt Wraps,Writing,Gardening Supplies,Intoxicants,Dissolved,FMCs,FMAs,Dry
04-02-2012,378,188,242,200,186,80,54,73,100,41,74,232,87,95,46,41,25,90,50,31,21,53,36,36,29,24,19,21,34,46,31,36,16,0,23,11,16,11,36,6,8,9,12,2,8,18,0,0,21,29,11,29,14,10,9,0,0,16,17,0,25,10,9,3,0,0,4,15,1,5,10,0,4,0,5,9,4,0,0,0,1,0,0,7,5,2,0,2,5,0,2,6,2,5,2,0,2,1,3,4,0,0,0,0,4,0,4,2,0,0,1,1,2,1,0,0,0,0,3,0,2,8,0,0,0,2,0,1,6,3,1,1,3,0,2,3,0,0,2,1,0,0,1,0,0,1,0,0,0,0,0,0,2,0,9,0,0,0,0,0,1,1,1,0,0,3,1,0,0,1,4,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
08-02-2012,366,187,241,190,155,77,48,75,85,38,67,229,85,82,47,42,24,79,50,29,21,49,34,38,24,21,16,17,34,38,28,30,16,0,21,10,15,11,41,5,13,10,12,2,8,16,0,0,21,29,15,24,14,10,10,0,0,16,17,0,24,11,9,3,0,0,1,14,1,5,9,0,4,0,5,7,4,1,0,0,1,0,0,7,5,2,0,2,6,0,4,6,0,5,2,0,2,1,3,4,0,0,0,0,6,1,4,2,0,0,0,1,2,1,0,0,0,0,3,0,2,8,0,0,0,2,0,1,7,3,1,1,5,1,2,3,0,0,2,1,0,0,0,0,1,1,0,0,0,0,0,0,2,0,8,0,0,0,0,0,1,0,1,0,0,3,1,0,0,1,4,1,0,0,0,0,2,0,0,0,0,0,0,0,1,0,1,0,0,0,2,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
11-02-2012,407,193,256,198,175,77,51,64,82,41,73,229,84,92,38,41,24,60,53,31,23,49,33,41,26,20,22,20,35,36,38,25,16,0,27,14,14,14,37,4,10,16,11,5,10,17,0,0,22,33,17,21,12,14,8,0,0,16,19,0,24,12,9,4,0,0,2,15,1,10,11,0,5,0,5,7,4,1,0,0,2,0,0,3,5,2,0,2,7,0,4,7,3,5,3,0,2,1,2,4,0,0,0,0,2,2,4,2,0,0,3,1,2,1,0,0,0,0,3,0,1,15,0,0,0,1,0,1,7,3,2,1,5,1,2,3,0,0,2,1,0,0,0,0,1,1,0,0,0,0,0,0,2,0,8,1,0,0,1,1,2,0,1,0,0,4,1,0,0,1,6,1,0,0,0,0,1,0,0,0,0,0,0,0,3,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15-02-2012,401,194,286,223,178,100,50,67,77,50,74,229,83,81,38,47,17,55,57,34,24,47,34,47,20,21,22,24,36,38,38,32,23,0,25,17,14,13,33,4,16,16,10,5,8,21,0,0,23,32,25,23,14,16,9,0,0,16,17,0,23,12,13,5,0,0,2,10,1,10,11,0,4,0,5,4,6,1,0,0,4,0,0,2,5,2,0,2,7,0,5,8,3,12,3,0,3,1,2,4,0,0,0,0,2,2,5,2,0,0,5,1,2,4,0,0,0,0,4,0,4,15,0,0,0,2,0,1,7,4,2,1,5,1,2,3,0,0,2,1,0,0,0,0,1,1,0,0,0,0,0,0,2,0,8,1,0,0,1,1,0,0,1,1,0,4,1,0,0,1,6,1,0,0,0,0,1,0,0,0,0,0,0,0,3,5,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18-02-2012,413,195,288,227,175,99,51,71,82,61,75,229,85,80,44,57,21,47,60,34,26,52,33,47,20,26,19,25,44,39,41,26,33,0,32,14,15,24,40,4,18,14,10,6,9,18,0,0,21,32,23,24,18,16,6,0,0,13,19,0,24,13,18,6,0,0,2,10,1,18,13,0,4,0,4,8,6,0,0,0,3,0,1,2,5,3,0,2,7,0,4,11,3,14,3,0,3,1,2,5,0,0,0,0,6,2,5,2,0,0,1,1,2,4,0,0,0,0,4,0,4,19,0,0,0,1,0,1,8,4,2,1,4,3,2,3,0,0,3,2,0,0,0,1,1,1,0,0,0,0,0,0,2,0,8,1,0,0,1,2,0,0,1,1,0,3,1,0,0,1,7,1,0,0,0,0,1,0,0,0,0,0,0,0,3,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22-02-2012,429,194,292,242,173,98,51,74,82,64,76,227,90,86,48,60,23,53,60,37,26,49,32,47,20,27,17,30,45,38,41,26,31,0,29,14,17,22,37,5,15,14,10,6,6,16,0,0,21,15,20,23,18,16,14,0,0,15,19,0,23,13,17,7,0,0,1,12,1,19,12,0,4,0,4,8,6,0,0,0,5,0,4,2,5,2,0,2,9,0,4,11,4,13,3,0,3,1,2,6,0,0,0,0,12,2,5,2,0,0,1,1,1,4,0,0,0,0,4,0,4,19,0,0,0,1,0,1,7,2,2,0,4,1,3,3,0,0,1,2,0,0,1,1,1,1,0,0,0,0,0,0,2,0,8,0,0,0,1,2,0,0,1,1,2,3,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,3,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25-02-2012,434,192,284,222,177,115,51,73,83,66,82,227,97,72,46,54,27,41,61,38,25,54,29,53,17,26,16,32,44,37,46,27,29,0,28,14,22,22,37,4,14,15,10,7,6,14,0,0,21,15,20,13,18,14,6,0,0,17,21,0,25,11,15,8,0,0,1,12,1,20,14,0,5,0,5,11,7,4,0,0,6,0,7,2,6,2,0,2,9,1,5,10,4,12,4,0,5,2,2,6,0,0,0,0,20,3,6,2,0,1,1,1,1,4,0,0,0,0,4,0,3,18,0,0,0,1,0,3,7,2,2,1,4,1,2,5,0,0,1,2,0,0,0,0,1,1,0,0,0,0,0,0,2,0,8,1,0,0,1,2,0,0,1,2,3,3,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,3,2,1,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28-02-2012,419,190,296,221,180,113,53,69,70,75,83,226,96,85,52,54,29,41,66,42,23,51,31,55,18,26,21,32,50,48,46,28,29,0,27,14,23,23,34,5,18,14,10,7,6,12,0,0,21,15,19,12,18,14,9,0,0,16,23,6,25,13,15,10,0,0,2,12,1,19,13,0,5,0,6,12,8,5,0,0,7,0,7,2,6,2,0,2,9,2,5,7,4,12,5,0,5,2,2,7,0,0,0,0,17,3,7,2,0,3,1,2,1,4,0,0,0,0,4,0,2,11,0,0,0,1,0,3,7,2,1,1,4,0,3,5,0,0,2,3,0,0,0,2,1,1,0,0,0,0,0,0,0,0,5,1,0,0,1,2,0,0,1,2,3,3,1,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,3,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03-03-2012,396,190,306,207,189,123,54,73,75,75,78,228,94,74,47,54,28,37,66,45,24,53,32,53,19,29,23,33,50,43,47,27,33,0,28,14,23,24,30,7,18,14,10,7,6,13,0,0,21,14,18,11,18,14,10,0,1,17,25,6,25,12,15,13,0,0,1,12,0,18,15,0,5,0,6,12,8,5,0,0,7,0,7,2,6,2,0,2,8,2,5,7,4,12,5,0,4,3,2,7,0,0,0,0,15,3,9,2,0,3,2,2,1,4,0,1,0,0,4,0,2,11,0,0,0,1,0,3,9,2,1,1,5,0,3,5,1,0,2,3,0,0,0,2,1,1,0,0,0,0,0,0,0,0,5,1,0,0,1,3,0,0,1,2,3,3,1,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
06-03-2012,382,190,300,192,189,123,54,76,74,74,74,229,98,72,45,47,23,47,68,51,24,52,31,52,15,32,21,31,49,34,46,29,31,0,26,9,25,35,30,6,14,13,10,7,6,14,0,0,19,14,14,8,18,14,11,0,2,17,22,6,25,12,14,12,0,0,1,12,0,7,13,0,5,0,6,7,8,6,0,0,7,1,9,2,7,3,1,2,8,1,5,7,4,12,4,0,7,3,2,7,0,0,0,0,12,3,8,1,0,3,2,2,1,2,0,1,0,0,4,0,2,10,0,0,0,2,0,3,9,2,1,1,5,0,3,5,1,0,2,3,0,0,0,2,1,1,0,0,0,0,0,0,0,0,5,1,0,0,1,1,0,0,1,2,1,3,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
