Country;Export;Continent
United States of America;10689;America's
Unknown;3973;Unknown
United Kingdom;2475;Europe
The Netherlands;1590;Europe
Canada;1437;America's
Germany;1099;Europe
Australia;777;Oceania
India;299;Asia
Italy;250;Europe
China;238;Asia
Spain;228;Europe
France;200;Europe
Austria;184;Europe
Belgium;112;Europe
Finland;96;Europe
Thailand;83;Asia
Sweden;72;Europe
Hong Kong;68;Asia
Poland;49;Europe
Worldwide;44;Unknown
Russia;35;Europe
South Africa;34;Africa
Moldova;30;Europe
Norway;29;Europe
Hungary;25;Europe
Portugal;23;Europe
Switzerland;22;Europe
New Zealand;20;Oceania
Denmark;19;Europe
Czech Republic;18;Europe
Bosnia and Herzegovina;15;Europe
Indonesia;15;Asia
nan;15;Unknown
Japan;9;Europe
Swaziland;9;Africa
Singapore;9;Asia
Mexico;9;America's
Cambodia;8;America's
European Union;7;Europe
internet;5;Unknown
Brazil;4;America's
Bahamas;4;America's
Slovakia;4;Europe
Netherland Antilles;4;America's
Pakistan;4;Asia
Philippines;3;Asia
Ireland;3;Europe
Saipan;3;Oceania
Direct DL;3;Unknown
me;2;Unknown
Me;2;Unknown
Nauru;2;Oceania
www;2;Unknown
High Speed DL;2;Unknown
Syria;2;Asia
Israel;1;Asia
Azerbaijan;1;Asia
Angola;1;Africa
Martinique;1;America's
Mongolia;1;Asia
Tranquility;1;Unknown
Andorra;1;Europe
Scandinavia(EU);1;Europe
Albania;1;Europe
Nevis;1;America's
United Arab Emirates;1;Asia
Vatican City State;1;Europe
Nepal;1;Asia
my hard drive;1;Unknown
Internet;1;Unknown
E-mail;1;Unknown
Afghanistan;1;Asia
Fast Direct DL;1;Unknown
Direct Download;1;Unknown
American Samoa;1;Oceania
My Inbox;1;Unknown
Uzbekistan;1;Asia
