Weed,25805
Books,18915
Prescription,18768
Drugs,14146
Benzos,13408
"Steroids, PEDs",8373
Erotica,7947
Hash,7197
Cannabis,6292
Digital goods,5947
Pills,5334
Seeds,5127
Money,4898
Cocaine,4815
MDMA,3973
Opioids,3468
DMT,3322
Blotter,3317
"CDs, DVDs, software, etc.",2918
Heroin,2875
Other,2700
Services,2666
Speed,2555
2C-B,2502
Stimulants,2286
Ketamine,2175
Meth,2037
Methylone,1986
White,1931
Cubensis,1746
Drug paraphernalia,1736
Edibles,1717
Concentrates,1556
Viagra,1492
Synthetic,1454
Electronics,1436
Digital currencies,1434
Forgeries,1429
NBOMe,1410
Spores,1385
Fake IDs,1346
Invites / Accounts,1330
Tobacco,1245
Video,1227
Computer equipment,1226
MXE,1156
Lotteries & games,1123
Glass,1063
Mephedrone,1041
Supplements,1023
2C-E,1022
LSD,1011
Shrooms,972
Oils,902
Tan,898
Pain Relief,887
Accessories,877
Psychedelics,867
GHB,866
25I-NBOMe,848
Pipes,844
MDPV,792
SSRIs,775
Ecstasy,732
Watches,728
Physical Books,725
Jewelry,664
4-MEC,648
Magazines,638
2C-P,600
MDA,581
Custom Orders,580
Medical,576
Sunglasses,558
DOC,540
2C-I,520
5-MeO-DMT,495
Opium,456
Clothing,449
Adderall,449
4-AcO-DMT,442
25C-NBOMe,425
Medical supplies,423
Lab Supplies,422
Crystal / Powder,398
Crack,392
Packaging,390
Security,388
Salvia,386
5-MEO-MIPT,385
Chemicals,384
PCP,365
Apparel,342
Ibogain,340
2C-C,335
Pharmaceuticals,315
4-FA,302
Loans,292
DOB,282
AMT,282
Papers,280
Handbags,280
TMA Family,265
Weight loss,242
Food,232
Ephedrine,227
Silver,201
2C Family,198
Metal,192
4-AcO-DET,191
Fireworks,182
2C-T-4,180
Caffeine,174
DXM,165
Smoking Blend,164
Grinders,156
Scales,150
Renewable Energy,144
Ethylphenidate,143
Silicone,141
6-APB,140
Melee,134
MDPPP,130
Herbs & Supplements,127
Butylone,127
Collectibles,126
IV/IM,125
2C-T-7,124
Weaponry,123
"Security, defense",119
Home & Garden,118
Bullion,117
2C-T-2,117
Art,115
Barbiturates,115
5-MeO-DiPT,108
Vaporizers,106
Passports,103
Dissociatives,102
DOI,101
Tramadol,100
Mexicana,99
Musical instruments,93
4-HO family,88
Cultures,84
Atlantis,83
25D-NBOMe,78
Yubikeys,77
4-HO-MIPT,75
Kink,75
Hardware,74
Cones,74
2C-D,74
Mimosa Hostilis,73
Ammunition,72
4-FMA,72
Bondage,64
Lock picks,64
Alcohol,64
Tickets,62
Cuttings,60
Liquid,60
Instruments,59
2-FA,57
Toys,52
Cyanescens,51
Antibiotics,50
5-MeO-DALT,50
Microdots,49
4-HO-MET,48
Inhalants,47
Entheogens,46
Glassware,45
2-FMA,45
Soma,45
Bongs,39
Mescaline,38
Newsletters,38
Topicals,36
Prostate Massager,36
DOx,35
Recipes,35
4-AcO-MIPT,35
San Pedro,33
MDAI,32
Gold,31
5-APB,30
25B-NBOMe,30
FAs,29
Rolling Supplies,28
Unknown,25
azurescens,24
Sporting goods,22
Biotic materials,20
Ethylone,20
LSA,18
Lab Testing,16
Beverages,16
Crystal,13
5-MEO-AMT,12
Dimethocaine,11
Precursors,11
Vinyl,10
Explosives,9
"3,4DMMC",8
A-PVP,7
4-FMC,6
DOM,3
4-HO-DIPT,3
Liberty caps,3
Peyote,2
Blunt Wraps,2
Writing,2
Gardening Supplies,2
Intoxicants,2
Dissolved,1
FMCs,0
FMAs,0
Dry,0
