Worldwide,12111
United States of America,7172
European Union,1011
USA and Canada,1004
United Kingdom,893
Australia,580
"EU, USA, and Canada",368
Worldwide except USA,339
Germany,253
"EU, CH, and NO",127
Australia and New Zealand,119
Canada,88
Unknown,64
EU except Italy,59
Sweden,39
Finland,29
New Zealand,18
Italy,16
Scandinavia,16
"EU, CH, NO, and USA",15
"USA, Mexico and Canada",11
Norway,9
The Netherlands,7
Switzerland,4
"EU, CH, NO, USA, and CA",4
Belgium,3
Oman,2
South Africa,2
you,2
You,2
Your HD,2
www,2
Your Hard Drive,2
St Kitts-Nevis,1
Great Britain,1
Tranquility,1
Austria,1
internet,1
Internet,1
Online,1
Your Hd,1
CANADA,1
Japan,1
Your Inbox,1
Wordl wide,1
